timestamp,系统负荷,联络线,风电,光伏
2023-09-01 00:00:00,55435.82,13439.0,3218.11,13.24
2023-09-01 00:15:00,55109.84,13438.0,3082.85,13.2
2023-09-01 00:30:00,54827.6,13437.0,2951.16,13.2
2023-09-01 00:45:00,54510.87,13436.0,2824.28,13.22
2023-09-01 01:00:00,54338.98,13438.0,2661.0,13.24
2023-09-01 01:15:00,54226.91,13438.0,2526.13,13.28
2023-09-01 01:30:00,54157.52,13438.0,2388.4,13.36
2023-09-01 01:45:00,54095.99,13438.0,2248.77,13.46
2023-09-01 02:00:00,53946.73,13438.0,2136.78,13.54
2023-09-01 02:15:00,53879.45,13438.0,2014.99,13.62
2023-09-01 02:30:00,53662.39,13438.0,1903.83,13.68
2023-09-01 02:45:00,53595.09,13438.0,1798.28,13.8
2023-09-01 03:00:00,53562.29,13438.0,1705.39,13.93
2023-09-01 03:15:00,53428.41,13438.0,1627.52,13.99
2023-09-01 03:30:00,53444.43,13438.0,1552.39,14.01
2023-09-01 03:45:00,53456.1,13438.0,1481.72,14.01
2023-09-01 04:00:00,53583.74,13438.0,1425.26,13.99
2023-09-01 04:15:00,53824.28,13438.0,1373.34,13.99
2023-09-01 04:30:00,54197.58,13438.0,1323.09,14.05
2023-09-01 04:45:00,54619.06,13438.0,1271.83,14.16
2023-09-01 05:00:00,55518.73,13438.0,1210.79,15.99
2023-09-01 05:15:00,56542.24,14038.0,1155.8,19.3
2023-09-01 05:30:00,57483.57,14638.0,1100.27,56.2
2023-09-01 05:45:00,58294.48,15238.0,1040.9,158.88
2023-09-01 06:00:00,58828.96,15852.0,992.78,355.06
2023-09-01 06:15:00,59092.02,15855.0,947.67,634.37
2023-09-01 06:30:00,58904.2,15858.0,904.59,979.52
2023-09-01 06:45:00,58302.28,15861.0,856.76,1386.12
2023-09-01 07:00:00,57618.45,16234.0,810.76,1862.27
2023-09-01 07:15:00,57189.76,16607.0,745.3,2400.99
2023-09-01 07:30:00,57114.21,16980.0,682.88,2981.1
2023-09-01 07:45:00,56875.61,17375.0,617.83,3555.19
2023-09-01 08:00:00,56066.03,17591.0,580.21,4136.75
2023-09-01 08:15:00,56248.13,17667.0,546.9,4708.13
2023-09-01 08:30:00,56115.84,17743.0,517.05,5253.01
2023-09-01 08:45:00,55981.47,17839.0,487.89,5766.23
2023-09-01 09:00:00,55248.31,17698.0,477.43,6252.27
2023-09-01 09:15:00,54983.5,17706.0,482.31,6682.36
2023-09-01 09:30:00,54778.08,17714.0,493.22,7068.63
2023-09-01 09:45:00,54586.84,17722.0,513.73,7431.4
2023-09-01 10:00:00,54539.42,17733.0,539.9,7747.92
2023-09-01 10:15:00,54771.33,16852.0,572.42,8000.91
2023-09-01 10:30:00,54973.49,15971.0,594.89,8212.33
2023-09-01 10:45:00,55063.37,15090.0,607.23,8371.64
2023-09-01 11:00:00,55071.6,13982.0,614.55,8485.85
2023-09-01 11:15:00,53711.73,13772.0,620.49,8562.04
2023-09-01 11:30:00,52407.92,13562.0,629.12,8615.15
2023-09-01 11:45:00,51018.53,13332.0,636.19,8620.57
2023-09-01 12:00:00,50356.77,13334.0,643.34,8599.08
2023-09-01 12:15:00,50259.65,13333.0,647.61,8544.19
2023-09-01 12:30:00,50471.8,13332.0,646.25,8471.46
2023-09-01 12:45:00,51091.17,13331.0,637.82,8368.93
2023-09-01 13:00:00,51686.71,13329.0,628.57,8209.17
2023-09-01 13:15:00,52680.37,14209.0,626.66,7994.87
2023-09-01 13:30:00,53705.09,15089.0,636.13,7703.0
2023-09-01 13:45:00,54651.92,15969.0,652.38,7447.83
2023-09-01 14:00:00,55534.74,16868.0,658.96,7098.05
2023-09-01 14:15:00,56454.03,16863.0,664.38,6752.62
2023-09-01 14:30:00,57407.82,16858.0,672.64,6356.26
2023-09-01 14:45:00,58348.22,16853.0,680.42,5978.49
2023-09-01 15:00:00,58980.27,16845.0,688.27,5537.55
2023-09-01 15:15:00,59812.77,16975.0,702.98,5060.19
2023-09-01 15:30:00,60687.1,17105.0,718.55,4572.67
2023-09-01 15:45:00,61675.37,17235.0,737.86,4056.21
2023-09-01 16:00:00,62626.89,17367.0,758.35,3534.73
