timestamp,day_type
2021-12-01,Work Day
2021-12-02,Work Day
2021-12-03,Work Day
2021-12-04,Week Day & Change Holiday
2021-12-05,Week Day & Change Holiday
2021-12-06,Work Day
2021-12-07,Work Day
2021-12-08,Work Day
2021-12-09,Work Day
2021-12-10,Work Day
2021-12-11,Week Day & Change Holiday
2021-12-12,双12
2021-12-13,Work Day
2021-12-14,Work Day
2021-12-15,Work Day
2021-12-16,Work Day
2021-12-17,Work Day
2021-12-18,Week Day & Change Holiday
2021-12-19,Week Day & Change Holiday
2021-12-20,Work Day
2021-12-21,Work Day
2021-12-22,Work Day
2021-12-23,Work Day
2021-12-24,Work Day
2021-12-25,Week Day & Change Holiday
2021-12-26,Week Day & Change Holiday
2021-12-27,Work Day
2021-12-28,Work Day
2021-12-29,Work Day
2021-12-30,Work Day
2021-12-31,Work Day
2022-01-01,New Year's Day
2022-01-02,New Year's Day
2022-01-03,New Year's Day
2022-01-04,Work Day
2022-01-05,Work Day
2022-01-06,Work Day
2022-01-07,Work Day
2022-01-08,Week Day & Change Holiday
2022-01-09,Week Day & Change Holiday
2022-01-10,Work Day
2022-01-11,Work Day
2022-01-12,Work Day
2022-01-13,Work Day
2022-01-14,Work Day
2022-01-15,Week Day & Change Holiday
2022-01-16,Week Day & Change Holiday
2022-01-17,Work Day
2022-01-18,Work Day
2022-01-19,Work Day
2022-01-20,Work Day
2022-01-21,Work Day
2022-01-22,Week Day & Change Holiday
2022-01-23,Week Day & Change Holiday
2022-01-24,Work Day
2022-01-25,Work Day
2022-01-26,Work Day
2022-01-27,Work Day
2022-01-28,Work Day
2022-01-29,Work Day
2022-01-30,Work Day
2022-01-31,Spring Festival
2022-02-01,Spring Festival
2022-02-02,Spring Festival
2022-02-03,Spring Festival
2022-02-04,Spring Festival
2022-02-05,Spring Festival
2022-02-06,Spring Festival
2022-02-07,Work Day
2022-02-08,Work Day
2022-02-09,Work Day
2022-02-10,Work Day
2022-02-11,Work Day
2022-02-12,Week Day & Change Holiday
2022-02-13,Week Day & Change Holiday
2022-02-14,Work Day
2022-02-15,Work Day
2022-02-16,Work Day
2022-02-17,Work Day
2022-02-18,Work Day
2022-02-19,Week Day & Change Holiday
2022-02-20,Week Day & Change Holiday
2022-02-21,Work Day
2022-02-22,Work Day
2022-02-23,Work Day
2022-02-24,Work Day
2022-02-25,Work Day
2022-02-26,Week Day & Change Holiday
2022-02-27,Week Day & Change Holiday
2022-02-28,Work Day
2022-03-01,Work Day
2022-03-02,Work Day
2022-03-03,Work Day
2022-03-04,Work Day
2022-03-05,Week Day & Change Holiday
2022-03-06,Week Day & Change Holiday
2022-03-07,Work Day
2022-03-08,Work Day
2022-03-09,Work Day
2022-03-10,Work Day
2022-03-11,Work Day
2022-03-12,Week Day & Change Holiday
2022-03-13,Week Day & Change Holiday
2022-03-14,Work Day
2022-03-15,Work Day
2022-03-16,Work Day
2022-03-17,Work Day
2022-03-18,Work Day
2022-03-19,Week Day & Change Holiday
2022-03-20,Week Day & Change Holiday
2022-03-21,Work Day
2022-03-22,Work Day
2022-03-23,Work Day
2022-03-24,Work Day
2022-03-25,Work Day
2022-03-26,Week Day & Change Holiday
2022-03-27,Week Day & Change Holiday
2022-03-28,Work Day
2022-03-29,Work Day
2022-03-30,Work Day
2022-03-31,Work Day
2022-04-01,Work Day
2022-04-02,Work Day
2022-04-03,Tomb-sweeping Day
2022-04-04,Tomb-sweeping Day
2022-04-05,Tomb-sweeping Day
2022-04-06,Work Day
2022-04-07,Work Day
2022-04-08,Work Day
2022-04-09,Week Day & Change Holiday
2022-04-10,Week Day & Change Holiday
2022-04-11,Work Day
2022-04-12,Work Day
2022-04-13,Work Day
2022-04-14,Work Day
2022-04-15,Work Day
2022-04-16,Week Day & Change Holiday
2022-04-17,Week Day & Change Holiday
2022-04-18,Work Day
2022-04-19,Work Day
2022-04-20,Work Day
2022-04-21,Work Day
2022-04-22,Work Day
2022-04-23,Week Day & Change Holiday
2022-04-24,Work Day
2022-04-25,Work Day
2022-04-26,Work Day
2022-04-27,Work Day
2022-04-28,Work Day
2022-04-29,Work Day
2022-04-30,Labour Day
2022-05-01,Labour Day
2022-05-02,Labour Day
2022-05-03,Labour Day
2022-05-04,Labour Day
2022-05-05,Work Day
2022-05-06,Work Day
2022-05-07,Work Day
